company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
E C BUILDERS PTE. LTD.,200707110E,General Builder Class 1,GB1,na,4/3/17,24,BOON LAY WAY,#01-72,TRADE HUB 21,609969,68618012
E CONSTRUCTOR PTE. LTD.,201511365K,General Builder Class 2,GB2,na,1/4/19,4008,ANG MO KIO AVENUE 10,#04-13,TECHPLACE I,569625,64591368
E DE DESIGN & CONTRACTS,200514995Z,General Builder Class 2,GB2,na,2/7/18,203,HOUGANG STREET 21,#03-83,na,530203,62817128
E DEVELOP PTE. LTD.,201414567G,General Builder Class 2,GB2,na,25/6/18,18,KAKI BUKIT ROAD 3,#02-18,ENTREPRENEUR BUSINESS CENTRE,415978,67813265
E DEVELOP PTE. LTD.,198302489Z,Specialist Builder (Structural Steelwork),SB(SS),na,24/11/18,18,KAKI BUKIT ROAD 3,#02-18,ENTREPRENEUR BUSINESS CENTRE,415978,67813265
E THREE 5 SIGNAGE SPECIALIST PTE. LTD.,201539619C,General Builder Class 2,GB2,na,8/11/18,1,KAKI BUKIT AVENUE 3,#10-14,KB-1,416087,67471975
E&V BUILDER PTE. LTD.,200415274N,General Builder Class 2,GB2,na,4/12/17,163,GEYLAND ROAD,#03-02,THE GRANDPLUS,389240,66357272
E+W BUILDERS PTE. LTD.,200720857R,General Builder Class 2,GB2,na,23/3/19,280,WOODLANDS INDUSTRIAL PARK E5,#06-14,HARVEST @ WOODLANDS,757322,63623706
E-FORCE ENGINEERING PRIVATE LTD.,201016169H,Specialist Builder (In-situ Post-tensioning Work),SB(PT),na,25/6/18,BLOCK 8,JALAN KUKOH,#01-37,na,162008,68875385
E-FORM SYSTEM PTE LTD,199405795K,General Builder Class 2,GB2,na,27/1/18,BLOCK 8,JALAN KUKOH,#01-37,na,162008,68875385
E-ONE CONSTRUCTION PTE LTD,200206752K,General Builder Class 2,GB2,na,13/5/19,65,SING AVENUE,na,na,217912,63415632
E-TACT BUILDERS PTE. LTD.,199802572H,General Builder Class 1,GB1,na,9/8/19,3016,BEDOK NORTH AVENUE 4,#06-27/28,EASTECH,489947,65855088
E-TECH BUILDING SERVICES PTE. LTD.,200200917E,General Builder Class 2,GB2,na,21/4/18,1,KALLANG WAY 2A,#08-01,XPRESS PRINT BUILDING,347495,67813233
